State Code,Pparty,Market_Reg
AL,Republican,Federal
AK,Independent,Federal
AZ,Republican,Federal
AR,Republican,Federal
CA,Democratic,Own
CO,Democratic,Own
CT,Democratic,Own
DE,Democratic,Federal
FL,Republican,Federal
GA,Republican,Federal
HI,Democratic,Federal
ID,Republican,Own
IL,Republican,Federal
IN,Republican,Federal
IA,Republican,Federal
KS,Republican,Federal
KY,Republican,Federal
LA,Democratic,Federal
ME,Republican,Federal
MD,Republican,Own
MA,Republican,Own
MI,Republican,Federal
MN,Democratic,Own
MS,Republican,Federal
MO,Republican,Federal
MT,Democratic,Federal
NE,Republican,Federal
NV,Republican,Federal
NH,Republican,Federal
NJ,Democratic,Federal
NM,Republican,Federal
NY,Democratic,Own
NC,Democratic,Federal
ND,Republican,Federal
OH,Republican,Federal
OK,Republican,Federal
OR,Democratic,Federal
PA,Democratic,Federal
RI,Democratic,Own
SC,Republican,Federal
SD,Republican,Federal
TN,Republican,Federal
TX,Republican,Federal
UT,Republican,Federal
VT,Republican,Own
VA,Democratic,Federal
WA,Democratic,Own
WV,Republican,Federal
WI,Republican,Federal
WY,Republican,Federal
